            Frequency	20*LOG10(V(OUT)/V(IN))
     1995.26231496888	     -8.73624060477646
     2154.43469003188	     -10.7757493286216
     2326.30506715363	     -12.9382926615096
     2511.88643150958	     -15.2018144868731
     2712.27257933203	     -17.5465229800521
     2928.64456462524	     -19.9556796693374
     3162.27766016838	     -22.4156764485224
      3414.5488738336	     -24.9157236718434
     3686.94506451957	        -27.4473950826
     3981.07170553497	     -30.0041559488723
     4298.66234708228	     -32.5809510549675
     4641.58883361278	      -35.173864256359
     5011.87233627272	     -37.7798513724771
     5411.69526546464	      -40.396532967675
     5843.41413373518	     -43.0220428626853
     6309.57344480193	     -45.6549077723196
     6812.92069057961	     -48.2939567234664
     7356.42254459641	     -50.9382558879357
     7943.28234724281	     -53.5870529856933
     8576.95898590894	     -56.2397289717612
     9261.18728128794	     -58.8957622174717
                10000	     -61.5546820401661
     10797.7516232771	     -64.2160190276696
     11659.1440117983	     -66.8792417702228
     12589.2541179417	     -69.5436592954673
     13593.5639087853	      -72.208279082832
     14677.9926762207	     -74.8715875775481
     15848.9319246111	     -77.5312049278804
     17113.2830416178	     -80.1833494009529
     18478.4979742229	     -82.8220133576076
     19952.6231496888	     -85.4377138662789
     21544.3469003188	     -88.0156501803702
     23263.0506715363	     -90.5331448774796
     25118.8643150958	     -92.9564017166379
     27122.7257933203	     -95.2371470143023
     29286.4456462524	     -97.3107240584575
     31622.7766016838	     -99.0985994325198
      34145.488738336	     -100.518684605847
     36869.4506451958	     -101.504054133764
     39810.7170553497	     -102.023788592364
     42986.6234708228	     -102.094187199542
     46415.8883361278	     -101.772660966806
     50118.7233627272	     -101.138592596918
     54116.9526546464	     -100.272896932815
     58434.1413373518	     -99.2448811434629
     63095.7344480193	     -98.1076357283911
     68129.2069057961	     -96.8989495759058
     73564.2254459641	     -95.6444533444073
     79432.8234724282	     -94.3609954240039
     85769.5898590894	     -93.0594262113977
     92611.8728128793	     -91.7466430177618
               100000	     -90.4269943449027
     107977.516232771	     -89.1032116125801
     116591.440117983	     -87.7770114126618
     125892.541179417	     -86.4494781959906
     135935.639087853	     -85.1213061177852
     146779.926762207	     -83.7929564913369
     158489.319246111	     -82.4647484106065
     171132.830416178	     -81.1369222583855
     184784.979742229	     -79.8096768903268
     199526.231496888	      -78.483193286162
     215443.469003188	     -77.1576535440794
     232630.506715363	     -75.8332491296482
     251188.643150958	     -74.5101937991039
     271227.257933203	     -73.1887252364728
     292864.456462524	     -71.8691180281361
     316227.766016838	     -70.5516854165983
      341454.88738336	     -69.2367877692488
     368694.506451958	     -67.9248417164824
     398107.170553497	     -66.6163269992466
     429866.234708228	     -65.3117962289392
     464158.883361278	     -64.0118834582223
     501187.233627272	     -62.7173192582537
     541169.526546464	     -61.4289390076587
     584341.413373517	     -60.1476987697993
     630957.344480193	     -58.8746880248028
     681292.069057961	     -57.6111458107177
     735642.254459641	     -56.3584772910928
     794328.234724281	     -55.1182671999879
     857695.898590894	     -53.8922991448694
     926118.728128793	      -52.682568535313
              1000000	       -51.49129984901


