            Frequency	      P(V(OUT)/V(IN))
     2511.88643150958	    -253.073141147622
     2712.27257933203	    -261.409034738943
     2928.64456462524	    -269.100533566714
     3162.27766016838	    -276.184763158111
      3414.5488738336	    -282.705290107229
     3686.94506451957	    -288.707604197272
     3981.07170553497	    -294.236447094469
     4298.66234708228	    -299.334439564513
     4641.58883361278	    -304.041510618844
     5011.87233627272	    -308.394819258831
     5411.69526546464	     -312.42897534838
     5843.41413373518	    -316.176387694399
     6309.57344480193	    -319.667750256416
     6812.92069057961	     -322.93255088765
     7356.42254459641	    -325.999655335741
     7943.28234724281	    -328.897953190774
     8576.95898590894	    -331.657077923171
     9261.18728128794	    -334.308241121348
                10000	    -336.885202303135
     10797.7516232771	    -339.425435124844
     11659.1440117983	     -341.97152230287
     12589.2541179417	    -344.572853782898
     13593.5639087853	    -347.287685027185
     14677.9926762207	    -350.185607908227
     15848.9319246111	    -353.350454273714
     17113.2830416178	    -356.883591991118
     18478.4979742229	    -360.907319746086
     19952.6231496888	    -365.567756938062
     21544.3469003188	    -371.035809411932
     23263.0506715363	    -377.503548198901
     25118.8643150958	    -385.171420383368
     27122.7257933203	    -394.219824623527
     29286.4456462524	     -404.75880418952
     31622.7766016838	    -416.757080127104
      34145.488738336	    -429.970663093225
     36869.4506451958	     -443.91577219556
     39810.7170553497	    -457.931777698972
     42986.6234708228	    -471.330954899192
     46415.8883361278	    -483.562907937328
     50118.7233627272	    -494.308539806201
     54116.9526546464	    -503.477304422043
     58434.1413373518	    -511.143753606469
     63095.7344480193	    -517.472837475503
     68129.2069057961	    -522.662235427568
     73564.2254459641	    -526.907542923433
     79432.8234724282	    -530.385309993358
     85769.5898590894	    -533.247104596887
     92611.8728128793	    -535.619372913336
               100000	     -537.60588278795
     107977.516232771	    -539.291018413297
     116591.440117983	    -540.743112085042
     125892.541179417	    -542.017416917475
     135935.639087853	     -543.15869756434
     146779.926762207	    -544.203333534111
     158489.319246111	    -545.181055206496
     171132.830416178	    -546.116346721608
     184784.979742229	    -547.029572598747
     199526.231496888	    -547.937879802429
     215443.469003188	    -548.855923119701
     232630.506715363	    -549.796444883721
     251188.643150958	    -550.770743360255
     271227.257933203	    -551.789035788891
     292864.456462524	    -552.860771300939
     316227.766016838	    -553.994860361561
      341454.88738336	    -555.199865746229
     368694.506451958	    -556.484167671466
     398107.170553497	    -557.856071579697
     429866.234708228	    -559.323907856947
     464158.883361278	    -560.896094159813
     501187.233627272	    -562.581194264871
     541169.526546464	    -564.387927434653
     584341.413373517	    -566.325190412916
     630957.344480193	    -568.402036706983
     681292.069057961	    -570.627639435623
     735642.254459641	    -573.011238159729
     794328.234724281	    -575.562064189991
     857695.898590894	    -578.289233161263
     926118.728128793	    -581.201606083318
              1000000	    -584.307657367288


