Ch 1 (s)	 Ch 1 (Volts)	 Ch 2 (s)	 Ch 2 (Volts)
     720.0E-6	      4.560	      720.0E-6	     0.0000
     724.0E-6	      4.560	      724.0E-6	     0.0000
     728.0E-6	      4.560	      728.0E-6	     0.0000
     732.0E-6	      4.560	      732.0E-6	     0.0000
     736.0E-6	      4.560	      736.0E-6	     0.0000
     740.0E-6	      4.560	      740.0E-6	     0.0000
     744.0E-6	      4.560	      744.0E-6	     0.0000
     748.0E-6	      4.560	      748.0E-6	     0.0000
     752.0E-6	      4.560	      752.0E-6	     0.0000
     756.0E-6	      4.560	      756.0E-6	     0.0000
     760.0E-6	      4.560	      760.0E-6	     0.0000
     764.0E-6	      4.560	      764.0E-6	     0.0000
     768.0E-6	      4.560	      768.0E-6	     0.0000
     772.0E-6	      4.560	      772.0E-6	      80.00E-3
     776.0E-6	      4.560	      776.0E-6	     0.0000
     780.0E-6	      4.560	      780.0E-6	     0.0000
     784.0E-6	      4.560	      784.0E-6	     0.0000
     788.0E-6	      4.560	      788.0E-6	     0.0000
     792.0E-6	      4.560	      792.0E-6	      80.00E-3
     796.0E-6	      4.560	      796.0E-6	     0.0000
     800.0E-6	      4.560	      800.0E-6	      80.00E-3
     804.0E-6	      4.560	      804.0E-6	     0.0000
     808.0E-6	      4.560	      808.0E-6	     0.0000
     812.0E-6	      4.560	      812.0E-6	     0.0000
     816.0E-6	      4.560	      816.0E-6	     0.0000
     820.0E-6	      4.560	      820.0E-6	     0.0000
     824.0E-6	      4.560	      824.0E-6	     0.0000
     828.0E-6	      4.640	      828.0E-6	     0.0000
     832.0E-6	      4.560	      832.0E-6	     0.0000
     836.0E-6	      4.480	      836.0E-6	     0.0000
     840.0E-6	      4.560	      840.0E-6	     0.0000
     844.0E-6	      4.560	      844.0E-6	      80.00E-3
     848.0E-6	      4.560	      848.0E-6	     0.0000
     852.0E-6	      4.560	      852.0E-6	     0.0000
     856.0E-6	      4.560	      856.0E-6	     0.0000
     860.0E-6	      4.560	      860.0E-6	     0.0000
     864.0E-6	      4.560	      864.0E-6	     0.0000
     868.0E-6	      4.560	      868.0E-6	     0.0000
     872.0E-6	      4.560	      872.0E-6	     0.0000
     876.0E-6	      4.560	      876.0E-6	     0.0000
     880.0E-6	      4.560	      880.0E-6	     0.0000
     884.0E-6	      4.560	      884.0E-6	     0.0000
     888.0E-6	      4.560	      888.0E-6	     0.0000
     892.0E-6	      4.560	      892.0E-6	     0.0000
     896.0E-6	      4.560	      896.0E-6	     0.0000
     900.0E-6	      4.480	      900.0E-6	      80.00E-3
     904.0E-6	      4.560	      904.0E-6	     0.0000
     908.0E-6	      4.560	      908.0E-6	     0.0000
     912.0E-6	      4.560	      912.0E-6	     0.0000
     916.0E-6	      4.560	      916.0E-6	     0.0000
     920.0E-6	      4.560	      920.0E-6	      80.00E-3
     924.0E-6	      4.560	      924.0E-6	     0.0000
     928.0E-6	      4.560	      928.0E-6	     0.0000
     932.0E-6	      4.560	      932.0E-6	     0.0000
     936.0E-6	      4.560	      936.0E-6	     0.0000
     940.0E-6	      4.480	      940.0E-6	      80.00E-3
     944.0E-6	      4.560	      944.0E-6	     0.0000
     948.0E-6	      4.480	      948.0E-6	      80.00E-3
     952.0E-6	      4.560	      952.0E-6	     0.0000
