            Frequency	         V(OUT)/V(IN)
     63095.7344480193	1.24342104505006e-005
     68129.2069057961	1.42906677159834e-005
     73564.2254459641	1.65111503761816e-005
     79432.8234724282	 1.9140365592228e-005
     85769.5898590894	2.22345676702969e-005
     92611.8728128793	2.58623419197118e-005
               100000	3.01058076649553e-005
     107977.516232771	  3.506222072235e-005
     116591.440117983	4.08459902521498e-005
     125892.541179417	 4.7591138046182e-005
     135935.639087853	5.54542318846846e-005
     146779.926762207	6.46178011367675e-005
     158489.319246111	 7.5294383113389e-005
     171132.830416178	8.77311631009252e-005
     184784.979742229	 0.000102215358336818
     199526.231496888	 0.000119080413952849
     215443.469003188	  0.00013871305056318
     232630.506715363	 0.000161561376062057
     251188.643150958	 0.000188143972716772
     271227.257933203	 0.000219060330305863
     292864.456462524	 0.000255002300593616
     316227.766016838	 0.000296767083849529
      341454.88738336	 0.000345271404596617
     368694.506451958	 0.000401566905736223
     398107.170553497	 0.000466856758220983
     429866.234708228	 0.000542513048843602
     464158.883361278	 0.000630094700722197
     501187.233627272	 0.000731364771079584
     541169.526546464	 0.000848306997890384
     584341.413373517	  0.00098313931036343
     630957.344480193	  0.00113832323021245
     681292.069057961	  0.00131656622467604
     735642.254459641	  0.00152081411776504
     794328.234724281	  0.00175423042884384
     857695.898590894	  0.00202015662810812
     926118.728128793	   0.0023220500331467
              1000000	  0.00266339148868047


